"branded_food_category","avg_protein_g","avg_fat_g","avg_carbs_g","avg_calories","avg_sugar_g","total_products"
"Plant Based Milk","0.37","0.31","0.59","6.49","0.39","129317"
"Frozen Fruit & Fruit Juice Concentrates","0.06","0.04","1.52","6.42","1.2","147010"
"Cereals Products - Ready to Eat (Shelf Stable)","0.33","0.2","2.55","6.36","0.76","15590"
"Milk","0.34","0.2","0.77","6.23","0.64","323575"
"Pies/Pastries - Sweet (Shelf Stable)","0.14","0.32","2.28","6.22","1.01","6804"
"Egg Based Products / Meals - Not Ready to Eat (Frozen)","0.6","0.34","0.21","6.16","0.11","62"
"Fish – Unprepared/Unprocessed","1.0","0.17","0.09","6.1","0.01","9722"
"Fish  Unprepared/Unprocessed","1.0","0.17","0.09","6.1","0.01","19463"
"Yogurt","0.39","0.14","0.84","6.04","0.66","507180"
"Non Alcoholic Beverages – Not Ready to Drink","0.1","0.08","3.21","6.0","2.87","592"
"Yogurt/Yogurt Substitutes","0.32","0.13","0.95","5.95","0.7","61279"
"Health Care","0.0","0.0","1.72","5.74","1.18","2903"
"Coffee/Tea/Substitutes","0.1","0.09","1.26","5.71","1.21","4415"
"Shellfish Prepared/Processed","0.48","0.38","0.78","5.7","0.04","403"
"Yogurt (Perishable)","0.23","0.12","0.94","5.65","0.7","853"
"Shellfish Unprepared/Unprocessed","0.89","0.11","0.22","5.63","0.02","27281"
"Soda","0.01","0.0","1.42","5.57","1.36","248038"
"Vegetables  Unprepared/Unprocessed (Frozen)","0.14","0.06","1.1","5.5","0.16","248"
"Aquatic Invertebrates/Fish/Shellfish/Seafood Combination","0.94","0.11","0.12","5.38","0.02","285"
